Risk ID,Risk Description,Initial risk,Likelihood,Likely Initial Risk,Schedule Impact?,Residual risk,Likelihood,Likely Residual Risk ,Cost of Measures,Crystallization Phase,Phase Weight Distribution
32,Tie-in with ERF,"6,420,000 CHF",5%,"321,000 CHF",Yes ,"6,420,000 CHF",3%,"160,500 CHF","15,000 CHF",CONS,"ENG:0.2|CONS:0.6|COMM:0.2"
33,New Procurement Technology,"18,000,000 CHF",30%,"5,400,000 CHF",Yes ,"10,000,000 CHF",10%,"1,000,000 CHF","280,000 CHF",PROC,"ENG:0.2|PROC:0.6|FAB:0.2"
34,Increase of Procurement cost and CORs during execution main Lots,"5,000,000 CHF",20%,"1,000,000 CHF",Yes ,"2,000,000 CHF",15%,"300,000 CHF","250,000 CHF",PROC,"PROC:0.7|FAB:0.2|CONS:0.1"
35,New Deliveries and Oversized Transport/Logistics,"800,000 CHF",30%,"240,000 CHF",Yes ,"500,000 CHF",15%,"75,000 CHF","70,000 CHF",PROC,"PROC:0.4|FAB:0.3|CONS:0.3"
36,Russian war conflict,"15,000,000 CHF",40%,"6,000,000 CHF",Yes ,"15,000,000 CHF",20%,"3,000,000 CHF","400,000 CHF",PROC,"PROC:0.5|FAB:0.3|CONS:0.2"
37,T&C for Supplier,"10,000,000 CHF",15%,"1,500,000 CHF",No,"10,000,000 CHF",1%,"100,000 CHF",0 CHF,PROC,"PROC:0.9|FAB:0.1"
38,"""Unusual"" supply chain","13,000,000 CHF",15%,"1,950,000 CHF",Yes ,"13,000,000 CHF",10%,"1,300,000 CHF",0 CHF,PROC,"PROC:0.5|FAB:0.3|CONS:0.2"
39,Big Colum Transportation,"50,000 CHF",20%,"10,000 CHF",Yes ,"50,000 CHF",0%,0 CHF,0 CHF,PROC,"PROC:0.3|FAB:0.4|CONS:0.3"
40,Pre Qualified Bidders,"10,000,000 CHF",20%,"2,000,000 CHF",Yes ,"10,000,000 CHF",20%,"2,000,000 CHF",0 CHF,PROC,"PROC:0.8|FAB:0.2"
41,Shutdown ,"2,000,000 CHF",50%,"1,000,000 CHF",Yes ,"2,000,000 CHF",25%,"500,000 CHF","380,000 CHF",CONS,"CONS:0.8|COMM:0.2"
42,Modularization ,"2,000,000 CHF",30%,"600,000 CHF",Yes ,"2,000,000 CHF",10%,"200,000 CHF","200,000 CHF",FAB,"FAB:0.7|CONS:0.3"
43,Commissioning ,"4,000,000 CHF",75%,"3,000,000 CHF",Yes ,"4,000,000 CHF",30%,"1,200,000 CHF","600,000 CHF",COMM,"COMM:0.9|WARR:0.1"
44,Interface with ERF Operation,"2,000,000 CHF",15%,"300,000 CHF",Yes ,"1,000,000 CHF",10%,"100,000 CHF",0 CHF,COMM,"CONS:0.3|COMM:0.6|WARR:0.1"
45,Site arrangement,"3,210,000 CHF",10%,"321,000 CHF",Yes ,"3,210,000 CHF",3%,"80,250 CHF","20,000 CHF",CONS,"ENG:0.2|CONS:0.7|COMM:0.1"
46,Extreme Weather Conditions,"450,000 CHF",30%,"135,000 CHF",Yes ,"450,000 CHF",30%,"135,000 CHF",0 CHF,CONS,"CONS:0.8|COMM:0.2"
47,Absorber Installation ,"2,000,000 CHF",25%,"500,000 CHF",Yes ,"2,000,000 CHF",5%,"100,000 CHF","250,000 CHF",CONS,"FAB:0.3|CONS:0.6|COMM:0.1"
48,Storage limitation at site,"1,000,000 CHF",70%,"700,000 CHF",Yes ,"1,000,000 CHF",0%,0 CHF,"200,000 CHF",CONS,"CONS:0.9|COMM:0.1"
49,Union and Authorities in the Area,"2,000,000 CHF",15%,"300,000 CHF",Yes ,"2,000,000 CHF",5%,"100,000 CHF","100,000 CHF",CONS,"CONS:0.8|COMM:0.2"
50,Ground Condition,"2,000,000 CHF",50%,"1,000,000 CHF",Yes ,"500,000 CHF",5%,"25,000 CHF","120,000 CHF",CONS,"ENG:0.1|CONS:0.8|COMM:0.1"
51,Excessive Snagging Items,"500,000 CHF",30%,"150,000 CHF",Yes ,"500,000 CHF",15%,"75,000 CHF","20,000 CHF",COMM,"CONS:0.2|COMM:0.6|WARR:0.2"
52,Process Safety,"10,000,000 CHF",99%,"9,900,000 CHF",Yes ,"1,000,000 CHF",99%,"990,000 CHF","500,000 CHF",COMM,"ENG:0.2|CONS:0.2|COMM:0.5|WARR:0.1"
